Date,Open,High,Low,Close,Adj Close,Volume
2022-01-01,1.630000,1.870000,1.400000,1.530000,1.530000,1875300
2022-02-01,1.520000,1.740000,1.500000,1.570000,1.570000,915500
2022-03-01,1.590000,1.800000,1.440000,1.720000,1.720000,971100
2022-04-01,1.750000,1.940000,1.500000,1.630000,1.630000,801700
2022-05-01,1.520000,1.700000,1.060000,1.430000,1.430000,609400
2022-06-01,1.400000,1.700000,1.370000,1.470000,1.470000,448900
2022-07-01,1.460000,1.870000,1.430000,1.710000,1.710000,590800
2022-08-01,1.720000,1.850000,1.520000,1.570000,1.570000,801300
2022-09-01,1.540000,1.770000,1.230000,1.330000,1.330000,1042300
2022-10-01,1.380000,1.500000,1.250000,1.310000,1.310000,420800
2022-11-01,1.330000,1.340000,1.190000,1.240000,1.240000,302200
2022-12-01,1.250000,1.280000,1.040000,1.070000,1.070000,266400
